1 1 0 0
2 0 1 0
3 1 1 1
4 0 0 1
5 1 1 0
6 0 0 0 
7 1 0 1
8 0 1 1

9 1 0 1
10 -4 10 1
11 1 10 1.1
12 -4 0 1.1
13 1 10 1
14 -4 0 1
15 1 0 1.1
16 -4 10 1.1

17 1 9 0
18 0 10 0
19 1 10 1
20 0 9 1
21 1 10 0
22 0 9 0
23 1 9 1
24 0 10 1

25 -3 0 0
26 -4 1 0
27 -3 1 1 
28 -4 0 1
29 -3 1 0
30 -4 0 0
31 -3 0 1
32 -4 1 1

33 -3 9 0
34 -4 10 0
35 -3 10 1
36 -4 9 1 
37 -3 10 0
38 -4 9 0
39 -3 9 1
40 -4 10 1

41 1 0 1.1 
42 -4 0 1.1
43 1 0 16.1
44 -4 0 16.1
45 1 0 1.1
46 -4 0 1.1
47 1 0 16.1
48 -4 0 16.1

49 -4 0 1.1
50 -4 10 1.1
51 -4 10 16.1
52 -4 0 16.1
53 -4 10 1.1
54 -4 0 1.1
55 -4 0 16.1
56 -4 10 16.1

57 1 10 1.1 
58 -4 10 1.1
59 1 10 16.1
60 -4 10 16.1
61 1 10 1.1
62 -4 10 1.1
63 1 10 16.1
64 -4 10 16.1

65 1 0 16.1
66 -4 10 16.1
67 1 10 16.1
68 -4 0 16.1
69 1 10 16.1
70 -4 0 16.1
71 1 0 16.1
72 -4 10 16.1

139 1 0 1.1
140 1 0 16.1

73 1.01 0 1.1
74 1 5 1.1
75 1.01 5 16.1
76 1 0 16.1
77 1.01 5 1.1
78 1 0 1.1
79 1.01 0 16.1
80 1 5 16.1

141 1 10 1.1
142 1 10 16.1

81 1.01 5 1.1
82 1 10 1.1
83 1.01 10 16.1
84 1 5 16.1
85 1.01 10 1.1
86 1 5 1.1
87 1.01 5 16.1
88 1 10 16.1

89 1.5 4 8
90 1.01 4.5 8
91 1.5 4.5 10
92 1.01 4 10
93 1.5 4.5 8
94 1.01 4 8
95 1.5 4 10
96 1.01 4.5 10

97 1.5 6 8
98 1.01 6.5 8
99 1.5 6.5 10
100 1.01 6 10
101 1.5 6.5 8
102 1.01 6 8
103 1.5 6 10
104 1.01 6.5 10
Faces:
1 5 3 7.
5 2 8 3.
2 6 4 8.
6 1 7 4.
7 3 8 4.
1 6 2 5.

9 13 11 15.
13 10 16 11.
10 14 12 16.
14 9 15 12.
15 11 16 12.
9 14 10 13.

17 21 19 23.
21 18 24 19.
18 22 20 24.
22 17 23 20.
23 19 24 20.
17 22 18 21.

25 29 27 31.
29 26 32 27.
26 30 28 32.
30 25 31 28.
31 27 32 28.
25 30 26 29.

33 37 35 39.
37 34 40 35.
34 38 36 40.
38 33 39 36.
39 35 40 36.
33 38 34 37.

45 42 48 43.
46 41 47 44.

50 54 52 56.
49 54 50 53.

61 58 64 59.
62 57 63 60.

71 67 72 68.
65 70 66 69.

73 77 75 79.
77 74 80 75.
74 78 76 80.
78 73 79 76.
79 75 80 76.
73 78 74 77.

81 85 83 87.
85 82 88 83.
82 86 84 88.
86 81 87 84.
87 83 88 84.
81 86 82 85.

89 93 91 95.
93 90 96 91.
90 94 92 96.
94 89 95 92.
95 91 96 92.
89 94 90 93.

97 101 99 103.
101 98 104 99.
98 102 100 104.
102 97 103 100.
103 99 104 100.
97 102 98 101.
